steps,exercise_minutes,sleep_hours,water_liters,sitting_hours,intensity_code,feeling_code,activity_level
1883,69,6.4,3.5,9.0,0,0,1
11904,68,8.3,0.9,6.5,1,1,2
12614,57,8.5,2.1,4.3,0,1,2
13803,74,7.5,3.2,5.5,0,2,2
11007,70,5.1,2.1,2.4,1,0,2
14799,67,9.3,1.6,5.7,0,1,2
7675,11,6.6,1.3,8.7,2,1,1
12401,74,8.4,1.9,4.9,0,2,2
13407,17,4.0,3.3,8.6,1,2,2
9112,41,7.1,1.0,3.1,1,2,2
13753,50,8.2,2.7,7.5,0,1,2
9843,2,6.4,1.3,6.1,2,2,1
13235,5,5.5,1.5,8.6,0,1,1
15939,59,6.2,3.3,3.7,1,0,2
12459,65,6.5,1.1,7.0,2,0,2
8182,40,6.1,1.6,8.3,1,1,2
5810,10,9.3,3.7,9.0,1,0,1
4584,70,7.9,2.1,4.7,0,0,2
2477,41,5.1,1.6,7.8,1,0,1
802,68,8.0,2.0,8.3,0,1,1
10245,7,6.3,0.6,6.9,0,0,1
11004,9,7.2,1.1,11.3,2,1,1
9993,53,4.1,3.9,6.8,1,2,2
4775,43,6.7,3.8,7.7,1,1,2
15283,29,6.9,2.0,2.2,1,2,2
8913,12,7.0,0.9,8.7,0,0,1
11819,65,8.2,0.9,11.2,2,0,2
2689,49,6.0,3.4,10.1,2,0,2
10339,26,6.8,1.4,11.4,0,0,1
5131,39,9.5,3.6,9.5,2,2,2
2297,46,5.7,3.2,8.6,1,1,1
11917,67,5.4,3.8,4.4,0,0,2
14324,13,5.0,2.6,10.7,0,0,1
15969,69,9.3,2.3,3.4,2,0,2
4829,11,7.7,0.9,7.1,2,2,1
6964,17,8.4,3.0,9.4,2,0,1
15583,27,6.7,2.8,11.6,1,0,2
8237,2,7.1,2.7,3.1,2,0,1
600,86,7.3,3.8,10.0,1,1,1
13628,1,4.6,3.4,10.0,1,0,1
12359,54,8.8,2.6,6.1,0,1,2
2262,58,8.8,2.1,4.5,0,0,1
13533,73,4.6,0.7,7.9,1,0,2
5440,27,4.8,3.7,3.7,0,0,1
7562,10,4.1,0.7,3.7,2,0,1
8497,61,6.2,1.6,7.0,2,2,2
8815,3,5.0,1.3,4.5,1,1,1
4875,4,6.1,2.3,3.0,0,2,1
6763,83,4.5,3.5,11.0,0,2,2
9480,70,7.5,3.2,3.3,2,1,2
15488,77,6.5,1.8,8.4,0,0,2
7221,43,6.3,1.3,5.7,1,1,2
7225,34,7.8,1.5,11.5,2,2,2
12439,29,6.9,3.5,8.5,0,2,2
12377,56,5.6,3.1,4.0,1,2,2
15263,55,4.5,3.0,2.8,1,2,2
15379,86,8.4,2.6,9.8,2,2,2
1896,22,7.2,0.8,8.2,0,0,0
621,51,6.6,2.3,9.6,2,2,2
4153,53,9.1,0.9,3.2,2,0,2
11796,37,8.3,2.8,5.3,2,2,2
10334,24,6.0,1.6,3.6,2,0,2
9102,39,6.1,3.1,7.5,2,2,2
9996,43,6.1,4.0,9.2,2,2,2
4699,76,7.5,0.9,7.9,0,2,2
1983,40,8.5,1.5,6.6,0,1,1
8491,82,8.3,0.9,12.0,0,2,2
12558,75,4.6,4.0,8.7,0,1,2
11051,80,4.2,1.3,3.4,2,2,2
725,81,7.6,0.6,2.1,0,0,1
15690,72,5.3,3.5,2.6,2,2,2
2363,69,7.8,3.4,2.4,1,0,2
8998,56,8.7,1.0,9.3,0,0,2
2049,63,9.4,2.6,2.5,0,1,2
3896,79,7.9,1.1,2.9,2,0,2
9675,41,8.3,2.7,7.7,1,0,2
8889,27,7.2,2.9,8.5,1,2,2
7655,45,6.2,2.2,3.2,2,0,2
1947,27,6.4,2.6,8.3,2,1,1
13521,19,7.2,1.6,2.4,0,1,2
2792,20,7.1,2.5,9.0,1,1,1
10057,28,8.3,2.4,6.3,1,1,2
15407,46,8.1,3.6,11.2,2,1,2
4665,71,5.7,3.4,6.9,0,0,2
13962,75,4.3,1.5,5.3,1,0,2
1531,66,4.1,3.4,10.6,1,1,1
4211,54,4.7,1.8,11.6,0,2,1
7079,27,7.8,3.0,5.9,2,1,2
10961,18,6.9,1.1,3.7,1,2,2
15349,50,8.6,4.0,3.4,1,1,2
5593,7,8.2,2.0,6.7,2,0,1
4283,81,4.2,1.3,4.9,0,1,2
11710,44,4.5,1.4,10.4,2,1,2
6805,60,8.2,0.7,5.7,2,1,2
14936,76,6.7,3.2,10.5,1,1,2
5227,52,8.7,1.7,7.0,2,1,2
840,35,9.0,2.7,3.8,0,1,1
4517,2,9.1,2.1,5.1,0,1,1
6940,25,7.9,2.7,11.8,2,1,2
15763,68,9.0,3.0,11.6,1,2,2
1649,10,8.0,2.0,7.5,2,1,1
2162,88,5.6,3.1,9.5,1,1,1
5115,3,8.3,2.2,11.9,2,1,1
4249,37,8.4,0.8,7.6,1,2,2
7389,74,4.2,1.8,2.5,1,0,2
12321,64,8.3,3.5,9.4,1,2,2
14571,21,7.4,3.5,2.0,2,1,2
8724,2,6.2,3.6,8.7,0,0,0
8624,31,8.7,1.5,7.9,1,1,2
9019,79,5.0,0.8,5.4,1,2,2
8770,89,5.6,1.9,3.4,0,1,2
1434,35,9.0,2.2,3.3,0,1,1
5938,18,4.1,2.1,8.3,2,1,1
14254,86,8.1,2.4,4.8,1,2,2
9187,29,9.0,2.4,9.4,0,1,2
887,26,5.3,1.6,3.6,1,2,1
1439,50,8.4,3.2,6.4,2,1,2
9629,60,8.5,3.7,9.9,1,0,2
5451,9,7.6,3.8,7.1,2,1,1
15039,86,4.6,0.6,4.5,1,0,2
4589,46,5.7,0.7,3.1,1,1,2
14415,62,5.1,1.6,5.9,0,1,2
4994,10,8.7,0.5,7.1,0,1,0
6857,38,8.3,3.4,4.6,0,0,1
14669,43,7.8,1.3,5.3,0,2,2
8168,41,7.9,1.0,2.5,0,0,2
1892,0,5.0,0.6,3.1,2,1,0
1877,51,7.2,3.5,2.0,0,2,2
